"time","pressure","temperature","conductivity","salinity","site","date"
2026-02-23 20:56:23.5,1.1770703125,3.39120483398438,29.3790760040283,31.8325104819023,"AOF1",2026-02-23
2026-02-23 20:56:24,1.56371658325195,3.4326171875,29.4091053009033,31.8275475290241,"AOF1",2026-02-23
2026-02-23 20:56:24.5,1.98918884277344,3.41534423828125,29.3864479064941,31.8172002477404,"AOF1",2026-02-23
2026-02-23 20:56:25,2.40259330749512,3.47686767578125,29.4558181762695,31.8394756822497,"AOF1",2026-02-23
2026-02-23 20:56:25.5,2.6756693649292,3.49252319335938,29.4710216522217,31.8421179427064,"AOF1",2026-02-23
2026-02-23 20:56:26,2.85822933197021,3.48931884765625,29.4590511322021,31.8308835732363,"AOF1",2026-02-23
2026-02-23 20:56:26.5,3.02563159942627,3.48138427734375,29.4664325714111,31.8473904742975,"AOF1",2026-02-23
2026-02-23 20:56:27,3.04319446563721,3.48995971679688,29.4604415893555,31.8318184881812,"AOF1",2026-02-23
2026-02-23 20:56:27.5,3.21625106811523,3.49862670898438,29.4670886993408,31.8311596248913,"AOF1",2026-02-23
2026-02-23 20:56:28,3.45594470977783,3.5045166015625,29.4765434265137,31.8365376766428,"AOF1",2026-02-23
2026-02-23 20:56:28.5,3.41052883148193,3.5037841796875,29.4787864685059,31.8399549091757,"AOF1",2026-02-23
2026-02-23 20:56:29,3.5110718536377,3.50390625,29.477689743042,31.8384750532717,"AOF1",2026-02-23
2026-02-23 20:56:29.5,3.47272747039795,3.50619506835938,29.4844932556152,31.8443648642461,"AOF1",2026-02-23
2026-02-23 20:56:30,3.50832908630371,3.50640869140625,29.4871292114258,31.8472809108671,"AOF1",2026-02-23
2026-02-23 20:56:30.5,3.55008762359619,3.508056640625,29.4804763793945,31.8377081960891,"AOF1",2026-02-23
2026-02-23 20:56:31,3.47519462585449,3.51443481445312,29.483642578125,31.8352684178714,"AOF1",2026-02-23
2026-02-23 20:56:31.5,3.48916023254395,3.51126098632812,29.4908008575439,31.8469100260467,"AOF1",2026-02-23
2026-02-23 20:56:32,3.4772354888916,3.5096435546875,29.4955673217773,31.854187550999,"AOF1",2026-02-23
2026-02-23 20:56:32.5,3.5368115234375,3.50201416015625,29.4861831665039,31.8504490914051,"AOF1",2026-02-23
2026-02-23 20:56:33,3.51841133117676,3.50485229492188,29.4932098388672,31.8560556406848,"AOF1",2026-02-23
2026-02-23 20:56:33.5,3.5537850189209,3.50387573242188,29.4874439239502,31.8501177664081,"AOF1",2026-02-23
2026-02-23 20:56:34,3.67544334411621,3.50961303710938,29.4801292419434,31.8357031765504,"AOF1",2026-02-23
2026-02-23 20:56:34.5,3.70797889709473,3.50933837890625,29.4793548583984,31.835032168044,"AOF1",2026-02-23
2026-02-23 20:56:35,3.52793853759766,3.51333618164062,29.4870281219482,31.8403555583565,"AOF1",2026-02-23
2026-02-23 20:56:35.5,3.56017177581787,3.51113891601562,29.4801292419434,31.8342665575463,"AOF1",2026-02-23
2026-02-23 20:56:36,3.55810516357422,3.513427734375,29.4840850830078,31.8367406949975,"AOF1",2026-02-23
2026-02-23 20:56:36.5,3.38454216003418,3.50897216796875,29.4782466888428,31.8342368112016,"AOF1",2026-02-23
2026-02-23 20:56:37,3.46824710845947,3.50900268554688,29.4753036499023,31.8306538050271,"AOF1",2026-02-23
2026-02-23 20:56:37.5,3.78618877410889,3.50616455078125,29.4736785888672,31.8313341139219,"AOF1",2026-02-23
2026-02-23 20:56:38,3.96436660766602,3.50732421875,29.4749374389648,31.8316063602536,"AOF1",2026-02-23
2026-02-23 20:56:38.5,4.09670417785645,3.50875854492188,29.4755554199219,31.830868684957,"AOF1",2026-02-23
2026-02-23 20:56:39,4.46214550018311,3.5140380859375,29.4777908325195,31.8281697927444,"AOF1",2026-02-23
2026-02-23 20:56:39.5,4.86754482269287,3.51638793945312,29.4789123535156,31.8269942573897,"AOF1",2026-02-23
2026-02-23 20:56:40,5.29736869812012,3.50961303710938,29.4804706573486,31.8352722081975,"AOF1",2026-02-23
2026-02-23 20:56:40.5,5.74012535095215,3.51461791992188,29.482608795166,31.8326860415433,"AOF1",2026-02-23
2026-02-23 20:56:41,6.18234031677246,3.52359008789062,29.4934539794922,31.8365917446237,"AOF1",2026-02-23
2026-02-23 20:56:41.5,6.63213508605957,3.52587890625,29.4943885803223,31.8352298308653,"AOF1",2026-02-23
2026-02-23 20:56:42,7.08416717529297,3.52294921875,29.4952640533447,31.8389120623391,"AOF1",2026-02-23
2026-02-23 20:56:42.5,7.52443855285645,3.53875732421875,29.5167560577393,31.8488020267594,"AOF1",2026-02-23
2026-02-23 20:56:43,7.97307174682617,3.55419921875,29.5368709564209,31.8573958179881,"AOF1",2026-02-23
2026-02-23 20:56:43.5,8.42768829345703,3.58114624023438,29.5599994659424,31.858287359327,"AOF1",2026-02-23
2026-02-23 20:56:44,8.8758122253418,3.58392333984375,29.5585975646973,31.8536662519061,"AOF1",2026-02-23
2026-02-23 20:56:44.5,9.32028167724609,3.58834838867188,29.5668239593506,31.8588917344433,"AOF1",2026-02-23
2026-02-23 20:56:45,9.73493927001953,3.59542846679688,29.5776119232178,31.8645774385595,"AOF1",2026-02-23
2026-02-23 20:56:45.5,9.89545600891113,3.59591674804688,29.5777778625488,31.8642136291241,"AOF1",2026-02-23
2026-02-23 20:56:46,10.0936047363281,3.59002685546875,29.5751724243164,31.8667833306637,"AOF1",2026-02-23
2026-02-23 20:56:46.5,10.0530926513672,3.59225463867188,29.5786418914795,31.868749493776,"AOF1",2026-02-23
2026-02-23 20:56:47,10.0592514801025,3.593505859375,29.5814666748047,31.870881376868,"AOF1",2026-02-23
2026-02-23 20:56:47.5,10.018996887207,3.59228515625,29.5843505859375,31.8755306221982,"AOF1",2026-02-23
2026-02-23 20:56:48,10.0575215148926,3.5938720703125,29.5842170715332,31.873796201874,"AOF1",2026-02-23
2026-02-23 20:56:48.5,10.1159817504883,3.59417724609375,29.5831604003906,31.8722095014428,"AOF1",2026-02-23
2026-02-23 20:56:49,10.1527668762207,3.59457397460938,29.5835361480713,31.8722487738961,"AOF1",2026-02-23
2026-02-23 20:56:49.5,10.2377068328857,3.59170532226562,29.5825538635254,31.8738480676088,"AOF1",2026-02-23
2026-02-23 20:56:50,10.1915604400635,3.5958251953125,29.583101272583,31.8704848914796,"AOF1",2026-02-23
2026-02-23 20:56:50.5,10.2410046386719,3.59530639648438,29.5848503112793,31.8730491051953,"AOF1",2026-02-23
2026-02-23 20:56:51,10.207551651001,3.59744262695312,29.584587097168,31.8706593036356,"AOF1",2026-02-23
2026-02-23 20:56:51.5,10.2320000457764,3.59719848632812,29.5882797241211,31.875279705342,"AOF1",2026-02-23
2026-02-23 20:56:52,10.2415539550781,3.5968017578125,29.5833625793457,31.869812892452,"AOF1",2026-02-23
2026-02-23 20:56:52.5,10.1419731903076,3.5960693359375,29.5861320495605,31.8738774833531,"AOF1",2026-02-23
2026-02-23 20:56:53,10.1380154418945,3.59857177734375,29.5839080810547,31.8687806015556,"AOF1",2026-02-23
2026-02-23 20:56:53.5,10.1244770812988,3.59759521484375,29.5898056030273,31.8767618560016,"AOF1",2026-02-23
2026-02-23 20:56:54,10.141877822876,3.59613037109375,29.5907115936279,31.8792669775848,"AOF1",2026-02-23
2026-02-23 20:56:54.5,10.155643157959,3.59564208984375,29.5954780578613,31.8854105023236,"AOF1",2026-02-23
2026-02-23 20:56:55,10.1851193237305,3.59457397460938,29.5969638824463,31.8882108724637,"AOF1",2026-02-23
2026-02-23 20:56:55.5,10.2353798675537,3.59344482421875,29.5935153961182,31.8851884454457,"AOF1",2026-02-23
2026-02-23 20:56:56,10.2558514404297,3.59567260742188,29.5979232788086,31.8882386441723,"AOF1",2026-02-23
2026-02-23 20:56:56.5,10.233035736084,3.5960693359375,29.5921020507812,31.8809343502106,"AOF1",2026-02-23
2026-02-23 20:56:57,10.2495915222168,3.59716796875,29.5981101989746,31.886997871885,"AOF1",2026-02-23
2026-02-23 20:56:57.5,10.2531658935547,3.5999755859375,29.6008434295654,31.8874951071103,"AOF1",2026-02-23
2026-02-23 20:56:58,10.2612301635742,3.60311889648438,29.6060619354248,31.8906175757492,"AOF1",2026-02-23
2026-02-23 20:56:58.5,10.2929493713379,3.59716796875,29.604419708252,31.8944835108376,"AOF1",2026-02-23
2026-02-23 20:56:59,10.2388722229004,3.60122680664062,29.5911560058594,31.8747497640448,"AOF1",2026-02-23
2026-02-23 20:56:59.5,10.2258545684814,3.60250854492188,29.5965270996094,31.879890241483,"AOF1",2026-02-23
2026-02-23 20:57:00,10.2763745117187,3.59893798828125,29.5942630767822,31.8806708902986,"AOF1",2026-02-23
2026-02-23 20:57:00.5,10.454528503418,3.5928955078125,29.5849723815918,31.8754475744205,"AOF1",2026-02-23
2026-02-23 20:57:01,10.3501354980469,3.59573364257812,29.5839748382568,31.8715323060949,"AOF1",2026-02-23
2026-02-23 20:57:01.5,10.2957665252686,3.59854125976562,29.5866889953613,31.8720379208852,"AOF1",2026-02-23
2026-02-23 20:57:02,10.2725750732422,3.59735107421875,29.5888919830322,31.8758377136668,"AOF1",2026-02-23
2026-02-23 20:57:02.5,10.2808911132812,3.59628295898438,29.5904941558838,31.8787869451906,"AOF1",2026-02-23
2026-02-23 20:57:03,10.2748905944824,3.59637451171875,29.5954494476318,31.8845967428542,"AOF1",2026-02-23
2026-02-23 20:57:03.5,10.2826458740234,3.59579467773438,29.5989551544189,31.8893330249177,"AOF1",2026-02-23
2026-02-23 20:57:04,10.3716446685791,3.59365844726562,29.5869293212891,31.8770711397807,"AOF1",2026-02-23
2026-02-23 20:57:04.5,10.4893681335449,3.59588623046875,29.58837890625,31.8765513736789,"AOF1",2026-02-23
2026-02-23 20:57:05,10.3171231079102,3.5963134765625,29.5849151611328,31.8720998795073,"AOF1",2026-02-23
2026-02-23 20:57:05.5,10.2829853820801,3.59683227539062,29.5830116271973,31.8693440351548,"AOF1",2026-02-23
2026-02-23 20:57:06,10.4782749938965,3.59475708007812,29.5834217071533,31.8717652473407,"AOF1",2026-02-23
2026-02-23 20:57:06.5,10.6384045410156,3.59799194335938,29.5869998931885,31.872769560837,"AOF1",2026-02-23
2026-02-23 20:57:07,10.7380787658691,3.60147094726562,29.5923480987549,31.8756713235849,"AOF1",2026-02-23
2026-02-23 20:57:07.5,10.6806046295166,3.6009521484375,29.5955142974854,31.879976512548,"AOF1",2026-02-23
2026-02-23 20:57:08,10.9020306396484,3.60433959960938,29.5920429229736,31.8724121164259,"AOF1",2026-02-23
2026-02-23 20:57:08.5,11.2755619812012,3.6080322265625,29.5937118530273,31.8705861480532,"AOF1",2026-02-23
2026-02-23 20:57:09,11.6893269348145,3.60699462890625,29.5937423706055,31.8714259512725,"AOF1",2026-02-23
2026-02-23 20:57:09.5,12.1255375671387,3.6202392578125,29.6108417510986,31.8785587196723,"AOF1",2026-02-23
2026-02-23 20:57:10,12.5713497924805,3.66409301757812,29.651762008667,31.8839981695065,"AOF1",2026-02-23
2026-02-23 20:57:10.5,13.0199772644043,3.6788330078125,29.6646041870117,31.8845831318796,"AOF1",2026-02-23
2026-02-23 20:57:11,13.4654766845703,3.70571899414062,29.6915969848633,31.8900689245716,"AOF1",2026-02-23
2026-02-23 20:57:11.5,13.9272839355469,3.71139526367188,29.6961669921875,31.8896971117816,"AOF1",2026-02-23
2026-02-23 20:57:12,14.3626972961426,3.71194458007812,29.6983242034912,31.8914946114275,"AOF1",2026-02-23
2026-02-23 20:57:12.5,14.8070656585693,3.73822021484375,29.7242813110352,31.8963321821677,"AOF1",2026-02-23
2026-02-23 20:57:13,15.2542988586426,3.74026489257812,29.7261772155762,31.8963491399757,"AOF1",2026-02-23
2026-02-23 20:57:13.5,15.7116162109375,3.76519775390625,29.7711067199707,31.9249546861116,"AOF1",2026-02-23
2026-02-23 20:57:14,16.1650196838379,3.85104370117188,29.8382892608643,31.9202504015331,"AOF1",2026-02-23
2026-02-23 20:57:14.5,16.6023976135254,3.90573120117188,29.8927536010742,31.9309208382371,"AOF1",2026-02-23
2026-02-23 20:57:15,17.0279843139648,3.93536376953125,29.9231567382812,31.9376327987283,"AOF1",2026-02-23
2026-02-23 20:57:15.5,17.461135559082,3.95486450195312,29.9421997070312,31.9408240038331,"AOF1",2026-02-23
2026-02-23 20:57:16,17.875182800293,3.95379638671875,29.9424171447754,31.9419115465956,"AOF1",2026-02-23
