Date (MM/DD/YYYY),Time (hh:mm:ss tt),Time (Fract. Sec),Site Name,Battery Power ( voltage ),Cable Power ( voltage ),Chlorophyll ( RFU ),Chlorophyll ( µg/L ),Phycoerythrin ( RFU ),Phycoerythrin ( µg/L ),Phycoerythrin ( cells/mL ),Chlorophyll ( cells/mL ),Temp ( °C ),Cond ( µS/cm ),Sp Cond ( µS/cm ),Sal ( psu ),nLFCond ( µS/cm ),TDS ( mg/L ),Turbidity ( FNU ),TSS ( mg/L ),DO ( % Sat ),DO ( mg/L ),DO ( % CB ),Absolute Pressure ( psi a ),Depth ( m ),Vertical Position ( m ),Resistivity ( ohms-cm ),Water Density ( Sigma ),Water Density ( Sigma-T ),Fault Code
10/22/2023,12:38:51 PM,0,ROK1,5.93,0,0.3,0.94,-0.15,-2.81,0,0,6.425,0,0,0,0,0,15.54,0,97.9,12.06,102.2,0.657,0.462,0.462,-593262600,,,0
10/22/2023,12:38:52 PM,0,ROK1,5.93,0,0.3,0.94,-0.15,-2.8,0,0,6.43,0,0,0,0,0,15.58,0,98,12.07,102.3,0.657,0.462,0.466,-173344140,,,0
10/22/2023,12:38:53 PM,0,ROK1,5.93,0,0.29,0.9,0.08,-2.15,0,0,6.434,0,0,0,0,0,15.58,0,98.1,12.08,102.4,0.656,0.461,0.462,-87844900,,,0
10/22/2023,12:38:54 PM,0,ROK1,5.93,0,0.29,0.91,0.39,-1.28,0,0,6.439,0,0,0,0,0,15.51,0,98.2,12.09,102.5,0.657,0.462,0.461,-91971624,,,0
10/22/2023,12:38:55 PM,0,ROK1,5.93,0,0.33,1.06,0.33,-1.45,0,0,6.445,0,0,0,0,0,15.38,0,98.1,12.08,102.4,0.657,0.462,0.461,-147288450,,,0
10/22/2023,12:38:56 PM,0,ROK1,5.93,0,0.3,0.96,0.1,-2.09,0,0,6.444,0,0,0,0,0,15.33,0,98,12.07,102.4,0.656,0.462,0.466,-593212300,,,0
10/22/2023,12:38:57 PM,0,ROK1,5.93,0,0.29,0.89,0.15,-1.96,0,0,6.435,0,0,0,0,0,15.32,0,97.7,12.03,102,0.657,0.462,0.462,-455389150,,,0
10/22/2023,12:38:58 PM,0,ROK1,5.93,0,0.74,2.71,0.62,-0.65,0,0,6.424,0,0,0,0,0,14.52,0,105.7,13.01,110.3,0.658,0.463,0.463,343362980,,,0
10/22/2023,12:38:59 PM,0,ROK1,5.93,0,0.65,2.34,0.18,-1.86,0,0,6.517,0,0,0,0,0,5.42,0,106.1,13.06,110.7,0.767,0.54,0.646,343362980,,,0
10/22/2023,12:39:00 PM,0,ROK1,5.93,0,0.09,0.11,-0.62,-4.12,0,0,6.974,31028.8,47321.7,30.38,48111.4,30759,0.62,0,105.1,12.92,109.7,1.121,0.788,0.885,32,23.8,23.8,0
10/22/2023,12:39:01 PM,0,ROK1,5.93,0,0.08,0.06,-0.57,-3.97,0,0,7.469,30946.9,46589.5,29.9,47381,30283,0.57,0,103.8,10.33,108.4,1.423,0.977,0.994,32,23.3,23.3,0
10/22/2023,12:39:02 PM,0,ROK1,5.93,0,0.14,0.3,-0.49,-3.75,0,0,7.746,30995.4,46231.2,29.67,47025.2,30050,0.64,0,103.2,10.18,107.7,1.616,1.111,1.205,32,23.1,23.1,0
10/22/2023,12:39:03 PM,0,ROK1,5.93,0,0.1,0.16,-0.4,-3.51,0,0,7.99,30966.5,45905,29.46,46698.4,29838,0.66,0,102.3,10.04,106.8,1.933,1.329,1.385,32,22.9,22.9,0
10/22/2023,12:39:04 PM,0,ROK1,5.93,0,0.02,-0.17,-0.48,-3.72,0,0,8.149,30968.5,45667,29.3,46460,29684,0.61,0,101.2,9.89,105.6,2.127,1.462,1.523,32,22.8,22.8,0
10/22/2023,12:39:05 PM,0,ROK1,5.93,0,0.04,-0.07,-0.67,-4.26,0,0,8.261,31016.3,45607.4,29.27,46401.3,29645,0.73,0,100.5,9.81,104.9,2.385,1.64,1.749,32,22.8,22.7,0
10/22/2023,12:39:06 PM,0,ROK1,5.93,0,0.07,0.03,-0.75,-4.49,0,0,8.353,31055.5,45547.1,29.23,46341.6,29606,0.72,0,99.9,9.72,104.3,2.816,1.936,1.972,32,22.7,22.7,0
10/22/2023,12:39:07 PM,0,ROK1,5.93,0,0.05,-0.05,-0.55,-3.92,0,0,8.421,31055.9,45446.8,29.17,46240.7,29540,0.66,0,99.4,9.65,103.7,3.005,2.066,2.135,32,22.7,22.6,0
10/22/2023,12:39:08 PM,0,ROK1,5.94,0,0.06,-0.02,-0.37,-3.42,0,0,8.481,31064.9,45392.4,29.13,46186.2,29505,0.63,0,98.9,9.6,103.2,3.278,2.254,2.321,32,22.6,22.6,0
